JJ PPM DIFF DIDD
1978.9986 335.20 0.680000000000007 1335.19
1979.0178 335.48 0.990000000000009 1335.47
1979.0370 336.64 1.65999999999997 1336.63
1979.0562 336.93 1.63999999999999 1336.92
1979.0753 337.02 1.65999999999997 1337.01
1979.0945 336.61 1.72000000000003 1336.6
1979.1137 336.52 1.25 1336.51
1979.1329 336.76 1.33999999999997 1336.75
1979.1521 336.97 1.07000000000005 1336.96
1979.1712 337.93 1.85000000000002 1337.92
1979.1904 338.10 1.48000000000002 1338.09
1979.2096 338.65 1.88999999999999 1338.64
1979.2288 338.97 1.64000000000004 1338.96
1979.2479 338.87 1.54000000000002 1338.86
1979.2671 338.78 0.879999999999995 1338.77
1979.2863 338.77 1.16999999999996 1338.76
1979.3055 339.38 1.48000000000002 1339.37
1979.3247 339.56 1.29000000000002 1339.55
1979.3438 338.60 0.650000000000034 1338.59
1979.3630 339.19 1.16000000000003 1339.18
1979.3822 -999.99 -1337.79 0
1979.4014 339.80 1.56 1339.79
1979.4205 339.74 1.25999999999999 1339.73
1979.4397 339.03 0.909999999999968 1339.02
1979.4589 339.13 1.37 1339.12
1979.4781 338.92 1.47000000000003 1338.91
1979.4973 338.14 1.62 1338.13
1979.5164 337.70 0.879999999999995 1337.69
1979.5356 337.91 1.47000000000003 1337.9
1979.5548 336.67 0.879999999999995 1336.66
1979.5740 336.84 1.35999999999996 1336.83
1979.5932 336.35 1.64000000000004 1336.34
1979.6123 336.18 1.49000000000001 1336.17
1979.6315 334.81 0.470000000000027 1334.8
1979.6507 335.25 1.39999999999998 1335.24
1979.6699 333.74 1.26999999999998 1333.73
1979.6890 334.40 2.35999999999996 1334.39
1979.7082 333.61 1.68000000000001 1333.6
1979.7274 333.61 1.08000000000004 1333.6
1979.7466 334.10 1.77000000000004 1334.09
1979.7658 334.53 2.67999999999995 1334.52
1979.7849 334.09 1.56999999999999 1334.08
1979.8041 334.12 1.36000000000001 1334.11
1979.8233 334.54 1.45000000000005 1334.53
1979.8425 334.80 1.30000000000001 1334.79
1979.8616 335.34 1.72999999999996 1335.33
1979.8808 335.63 1.62 1335.62
1979.9000 335.88 1.75 1335.87
1979.9192 336.39 1.93000000000001 1336.38
1979.9384 336.72 1.78000000000003 1336.71
1979.9575 337.01 1.88999999999999 1337
1979.9767 337.18 2.03000000000003 1337.17
